year,state,state_name,region,unemp_rate
2000,AL,Alabama,South,7.37
2001,AL,Alabama,South,4.17
2002,AL,Alabama,South,4.87
2003,AL,Alabama,South,5.39
2004,AL,Alabama,South,3.6
2005,AL,Alabama,South,4.73
2006,AL,Alabama,South,4.71
2007,AL,Alabama,South,2.26
2008,AL,Alabama,South,7.12
2009,AL,Alabama,South,8.3
2010,AL,Alabama,South,7.64
2011,AL,Alabama,South,7.1
2012,AL,Alabama,South,6.23
2013,AL,Alabama,South,4.25
2014,AL,Alabama,South,4.08
2015,AL,Alabama,South,2.26
2016,AL,Alabama,South,5.17
2017,AL,Alabama,South,4.51
2018,AL,Alabama,South,4.72
2019,AL,Alabama,South,3.51
2020,AL,Alabama,South,12.65
2021,AL,Alabama,South,5.91
2022,AL,Alabama,South,3.61
2023,AL,Alabama,South,7.1
2024,AL,Alabama,South,4.02
2000,AK,Alaska,West,3.18
2001,AK,Alaska,West,6.36
2002,AK,Alaska,West,4.44
2003,AK,Alaska,West,3.99
2004,AK,Alaska,West,6.29
2005,AK,Alaska,West,2.76
2006,AK,Alaska,West,5.55
2007,AK,Alaska,West,2.33
2008,AK,Alaska,West,4.93
2009,AK,Alaska,West,6.02
2010,AK,Alaska,West,10.59
2011,AK,Alaska,West,9.78
2012,AK,Alaska,West,5.22
2013,AK,Alaska,West,5.87
2014,AK,Alaska,West,4.36
2015,AK,Alaska,West,5.28
2016,AK,Alaska,West,3.55
2017,AK,Alaska,West,2.28
2018,AK,Alaska,West,2.15
2019,AK,Alaska,West,6.4
2020,AK,Alaska,West,13.27
2021,AK,Alaska,West,6.19
2022,AK,Alaska,West,3.66
2023,AK,Alaska,West,6.74
2024,AK,Alaska,West,4.55
2000,AZ,Arizona,West,5.56
2001,AZ,Arizona,West,5.28
2002,AZ,Arizona,West,3.66
2003,AZ,Arizona,West,6.35
2004,AZ,Arizona,West,5.48
2005,AZ,Arizona,West,7.26
2006,AZ,Arizona,West,5.04
2007,AZ,Arizona,West,3.0
2008,AZ,Arizona,West,6.34
2009,AZ,Arizona,West,10.67
2010,AZ,Arizona,West,8.87
2011,AZ,Arizona,West,6.95
2012,AZ,Arizona,West,4.66
2013,AZ,Arizona,West,4.01
2014,AZ,Arizona,West,4.87
2015,AZ,Arizona,West,3.58
2016,AZ,Arizona,West,7.32
2017,AZ,Arizona,West,4.78
2018,AZ,Arizona,West,5.32
2019,AZ,Arizona,West,8.64
2020,AZ,Arizona,West,13.2
2021,AZ,Arizona,West,6.24
2022,AZ,Arizona,West,5.5
2023,AZ,Arizona,West,6.02
2024,AZ,Arizona,West,4.67
2000,AR,Arkansas,South,3.21
2001,AR,Arkansas,South,6.32
2002,AR,Arkansas,South,4.37
2003,AR,Arkansas,South,5.38
2004,AR,Arkansas,South,4.78
2005,AR,Arkansas,South,5.16
2006,AR,Arkansas,South,7.43
2007,AR,Arkansas,South,7.89
2008,AR,Arkansas,South,7.44
2009,AR,Arkansas,South,9.07
2010,AR,Arkansas,South,10.39
2011,AR,Arkansas,South,8.2
2012,AR,Arkansas,South,6.25
2013,AR,Arkansas,South,4.53
2014,AR,Arkansas,South,5.23
2015,AR,Arkansas,South,8.49
2016,AR,Arkansas,South,6.47
2017,AR,Arkansas,South,4.7
2018,AR,Arkansas,South,4.5
2019,AR,Arkansas,South,5.38
2020,AR,Arkansas,South,11.62
2021,AR,Arkansas,South,7.11
2022,AR,Arkansas,South,2.98
2023,AR,Arkansas,South,5.69
2024,AR,Arkansas,South,4.14
2000,CA,California,West,7.08
2001,CA,California,West,5.76
2002,CA,California,West,7.31
2003,CA,California,West,5.06
2004,CA,California,West,5.2
2005,CA,California,West,5.77
2006,CA,California,West,6.52
2007,CA,California,West,6.15
2008,CA,California,West,5.1
2009,CA,California,West,8.34
2010,CA,California,West,9.32
2011,CA,California,West,7.65
2012,CA,California,West,5.56
2013,CA,California,West,7.15
2014,CA,California,West,4.78
2015,CA,California,West,4.27
2016,CA,California,West,5.75
2017,CA,California,West,5.19
2018,CA,California,West,4.97
2019,CA,California,West,7.29
2020,CA,California,West,11.46
2021,CA,California,West,6.79
2022,CA,California,West,5.9
2023,CA,California,West,5.15
2024,CA,California,West,4.2
2000,CO,Colorado,West,5.32
2001,CO,Colorado,West,5.13
2002,CO,Colorado,West,5.84
2003,CO,Colorado,West,4.5
2004,CO,Colorado,West,3.69
2005,CO,Colorado,West,5.62
2006,CO,Colorado,West,4.15
2007,CO,Colorado,West,3.65
2008,CO,Colorado,West,6.8
2009,CO,Colorado,West,7.5
2010,CO,Colorado,West,9.86
2011,CO,Colorado,West,7.61
2012,CO,Colorado,West,5.15
2013,CO,Colorado,West,4.17
2014,CO,Colorado,West,4.72
2015,CO,Colorado,West,4.92
2016,CO,Colorado,West,4.32
2017,CO,Colorado,West,4.84
2018,CO,Colorado,West,3.55
2019,CO,Colorado,West,6.57
2020,CO,Colorado,West,9.2
2021,CO,Colorado,West,6.29
2022,CO,Colorado,West,5.69
2023,CO,Colorado,West,6.04
2024,CO,Colorado,West,6.64
2000,CT,Connecticut,Northeast,3.69
2001,CT,Connecticut,Northeast,6.06
2002,CT,Connecticut,Northeast,6.49
2003,CT,Connecticut,Northeast,6.22
2004,CT,Connecticut,Northeast,4.21
2005,CT,Connecticut,Northeast,5.56
2006,CT,Connecticut,Northeast,7.05
2007,CT,Connecticut,Northeast,3.69
2008,CT,Connecticut,Northeast,6.53
2009,CT,Connecticut,Northeast,8.98
2010,CT,Connecticut,Northeast,8.25
2011,CT,Connecticut,Northeast,8.37
2012,CT,Connecticut,Northeast,4.79
2013,CT,Connecticut,Northeast,4.2
2014,CT,Connecticut,Northeast,4.0
2015,CT,Connecticut,Northeast,5.0
2016,CT,Connecticut,Northeast,4.67
2017,CT,Connecticut,Northeast,5.73
2018,CT,Connecticut,Northeast,3.75
2019,CT,Connecticut,Northeast,6.03
2020,CT,Connecticut,Northeast,11.63
2021,CT,Connecticut,Northeast,6.68
2022,CT,Connecticut,Northeast,3.22
2023,CT,Connecticut,Northeast,5.23
2024,CT,Connecticut,Northeast,4.01
2000,DE,Delaware,South,6.31
2001,DE,Delaware,South,5.92
2002,DE,Delaware,South,3.23
2003,DE,Delaware,South,3.85
2004,DE,Delaware,South,6.65
2005,DE,Delaware,South,5.28
2006,DE,Delaware,South,7.14
2007,DE,Delaware,South,6.1
2008,DE,Delaware,South,5.51
2009,DE,Delaware,South,9.78
2010,DE,Delaware,South,8.37
2011,DE,Delaware,South,5.48
2012,DE,Delaware,South,9.17
2013,DE,Delaware,South,2.96
2014,DE,Delaware,South,6.2
2015,DE,Delaware,South,6.56
2016,DE,Delaware,South,5.46
2017,DE,Delaware,South,2.96
2018,DE,Delaware,South,6.58
2019,DE,Delaware,South,4.71
2020,DE,Delaware,South,9.31
2021,DE,Delaware,South,6.1
2022,DE,Delaware,South,6.15
2023,DE,Delaware,South,5.43
2024,DE,Delaware,South,6.09
2000,FL,Florida,South,4.02
2001,FL,Florida,South,4.83
2002,FL,Florida,South,5.74
2003,FL,Florida,South,4.78
2004,FL,Florida,South,5.55
2005,FL,Florida,South,4.44
2006,FL,Florida,South,4.4
2007,FL,Florida,South,5.18
2008,FL,Florida,South,5.72
2009,FL,Florida,South,8.33
2010,FL,Florida,South,9.05
2011,FL,Florida,South,9.46
2012,FL,Florida,South,5.56
2013,FL,Florida,South,4.7
2014,FL,Florida,South,3.67
2015,FL,Florida,South,4.72
2016,FL,Florida,South,5.37
2017,FL,Florida,South,3.86
2018,FL,Florida,South,4.57
2019,FL,Florida,South,6.8
2020,FL,Florida,South,10.4
2021,FL,Florida,South,5.45
2022,FL,Florida,South,5.49
2023,FL,Florida,South,4.53
2024,FL,Florida,South,4.81
2000,GA,Georgia,South,7.04
2001,GA,Georgia,South,4.46
2002,GA,Georgia,South,5.64
2003,GA,Georgia,South,4.98
2004,GA,Georgia,South,2.29
2005,GA,Georgia,South,7.03
2006,GA,Georgia,South,5.12
2007,GA,Georgia,South,6.33
2008,GA,Georgia,South,4.25
2009,GA,Georgia,South,9.74
2010,GA,Georgia,South,8.06
2011,GA,Georgia,South,7.58
2012,GA,Georgia,South,3.77
2013,GA,Georgia,South,4.77
2014,GA,Georgia,South,4.48
2015,GA,Georgia,South,4.5
2016,GA,Georgia,South,5.4
2017,GA,Georgia,South,4.8
2018,GA,Georgia,South,6.17
2019,GA,Georgia,South,5.44
2020,GA,Georgia,South,9.12
2021,GA,Georgia,South,6.05
2022,GA,Georgia,South,5.51
2023,GA,Georgia,South,6.38
2024,GA,Georgia,South,5.7
2000,HI,Hawaii,West,2.08
2001,HI,Hawaii,West,5.27
2002,HI,Hawaii,West,6.86
2003,HI,Hawaii,West,4.73
2004,HI,Hawaii,West,3.82
2005,HI,Hawaii,West,5.03
2006,HI,Hawaii,West,3.79
2007,HI,Hawaii,West,5.64
2008,HI,Hawaii,West,5.44
2009,HI,Hawaii,West,9.35
2010,HI,Hawaii,West,9.15
2011,HI,Hawaii,West,6.1
2012,HI,Hawaii,West,6.24
2013,HI,Hawaii,West,5.88
2014,HI,Hawaii,West,3.43
2015,HI,Hawaii,West,3.59
2016,HI,Hawaii,West,1.5
2017,HI,Hawaii,West,5.52
2018,HI,Hawaii,West,3.27
2019,HI,Hawaii,West,2.4
2020,HI,Hawaii,West,7.41
2021,HI,Hawaii,West,5.19
2022,HI,Hawaii,West,5.17
2023,HI,Hawaii,West,3.83
2024,HI,Hawaii,West,4.64
2000,ID,Idaho,West,4.09
2001,ID,Idaho,West,5.92
2002,ID,Idaho,West,5.27
2003,ID,Idaho,West,6.77
2004,ID,Idaho,West,4.13
2005,ID,Idaho,West,4.72
2006,ID,Idaho,West,6.39
2007,ID,Idaho,West,7.46
2008,ID,Idaho,West,6.11
2009,ID,Idaho,West,9.86
2010,ID,Idaho,West,8.34
2011,ID,Idaho,West,8.22
2012,ID,Idaho,West,5.77
2013,ID,Idaho,West,3.26
2014,ID,Idaho,West,5.22
2015,ID,Idaho,West,5.96
2016,ID,Idaho,West,4.67
2017,ID,Idaho,West,4.72
2018,ID,Idaho,West,6.42
2019,ID,Idaho,West,4.78
2020,ID,Idaho,West,8.96
2021,ID,Idaho,West,5.4
2022,ID,Idaho,West,3.26
2023,ID,Idaho,West,6.18
2024,ID,Idaho,West,4.94
2000,IL,Illinois,Midwest,3.96
2001,IL,Illinois,Midwest,4.33
2002,IL,Illinois,Midwest,9.84
2003,IL,Illinois,Midwest,4.27
2004,IL,Illinois,Midwest,3.99
2005,IL,Illinois,Midwest,5.66
2006,IL,Illinois,Midwest,6.17
2007,IL,Illinois,Midwest,5.64
2008,IL,Illinois,Midwest,4.62
2009,IL,Illinois,Midwest,6.02
2010,IL,Illinois,Midwest,9.96
2011,IL,Illinois,Midwest,7.71
2012,IL,Illinois,Midwest,3.32
2013,IL,Illinois,Midwest,6.95
2014,IL,Illinois,Midwest,6.13
2015,IL,Illinois,Midwest,4.46
2016,IL,Illinois,Midwest,4.39
2017,IL,Illinois,Midwest,5.14
2018,IL,Illinois,Midwest,3.67
2019,IL,Illinois,Midwest,4.05
2020,IL,Illinois,Midwest,11.19
2021,IL,Illinois,Midwest,3.84
2022,IL,Illinois,Midwest,5.25
2023,IL,Illinois,Midwest,2.28
2024,IL,Illinois,Midwest,4.38
2000,IN,Indiana,Midwest,4.51
2001,IN,Indiana,Midwest,2.7
2002,IN,Indiana,Midwest,3.73
2003,IN,Indiana,Midwest,3.04
2004,IN,Indiana,Midwest,3.74
2005,IN,Indiana,Midwest,5.11
2006,IN,Indiana,Midwest,5.58
2007,IN,Indiana,Midwest,6.94
2008,IN,Indiana,Midwest,4.4
2009,IN,Indiana,Midwest,10.88
2010,IN,Indiana,Midwest,11.11
2011,IN,Indiana,Midwest,6.87
2012,IN,Indiana,Midwest,2.11
2013,IN,Indiana,Midwest,4.32
2014,IN,Indiana,Midwest,4.34
2015,IN,Indiana,Midwest,1.5
2016,IN,Indiana,Midwest,4.26
2017,IN,Indiana,Midwest,3.85
2018,IN,Indiana,Midwest,3.03
2019,IN,Indiana,Midwest,6.43
2020,IN,Indiana,Midwest,11.42
2021,IN,Indiana,Midwest,4.82
2022,IN,Indiana,Midwest,4.3
2023,IN,Indiana,Midwest,3.02
2024,IN,Indiana,Midwest,2.8
2000,IA,Iowa,Midwest,4.6
2001,IA,Iowa,Midwest,2.35
2002,IA,Iowa,Midwest,6.07
2003,IA,Iowa,Midwest,3.11
2004,IA,Iowa,Midwest,5.38
2005,IA,Iowa,Midwest,7.57
2006,IA,Iowa,Midwest,5.15
2007,IA,Iowa,Midwest,3.7
2008,IA,Iowa,Midwest,4.12
2009,IA,Iowa,Midwest,9.45
2010,IA,Iowa,Midwest,9.0
2011,IA,Iowa,Midwest,8.54
2012,IA,Iowa,Midwest,7.19
2013,IA,Iowa,Midwest,5.03
2014,IA,Iowa,Midwest,4.49
2015,IA,Iowa,Midwest,3.58
2016,IA,Iowa,Midwest,1.5
2017,IA,Iowa,Midwest,2.75
2018,IA,Iowa,Midwest,4.68
2019,IA,Iowa,Midwest,5.98
2020,IA,Iowa,Midwest,11.23
2021,IA,Iowa,Midwest,5.98
2022,IA,Iowa,Midwest,4.86
2023,IA,Iowa,Midwest,5.64
2024,IA,Iowa,Midwest,3.37
2000,KS,Kansas,Midwest,4.59
2001,KS,Kansas,Midwest,4.94
2002,KS,Kansas,Midwest,5.45
2003,KS,Kansas,Midwest,6.67
2004,KS,Kansas,Midwest,6.08
2005,KS,Kansas,Midwest,4.69
2006,KS,Kansas,Midwest,5.68
2007,KS,Kansas,Midwest,3.16
2008,KS,Kansas,Midwest,6.18
2009,KS,Kansas,Midwest,7.62
2010,KS,Kansas,Midwest,6.66
2011,KS,Kansas,Midwest,8.98
2012,KS,Kansas,Midwest,4.69
2013,KS,Kansas,Midwest,5.49
2014,KS,Kansas,Midwest,3.98
2015,KS,Kansas,Midwest,5.62
2016,KS,Kansas,Midwest,5.96
2017,KS,Kansas,Midwest,3.37
2018,KS,Kansas,Midwest,2.52
2019,KS,Kansas,Midwest,5.63
2020,KS,Kansas,Midwest,11.28
2021,KS,Kansas,Midwest,5.28
2022,KS,Kansas,Midwest,3.49
2023,KS,Kansas,Midwest,4.74
2024,KS,Kansas,Midwest,1.5
2000,KY,Kentucky,South,5.46
2001,KY,Kentucky,South,4.16
2002,KY,Kentucky,South,3.66
2003,KY,Kentucky,South,4.57
2004,KY,Kentucky,South,3.16
2005,KY,Kentucky,South,4.92
2006,KY,Kentucky,South,4.08
2007,KY,Kentucky,South,4.58
2008,KY,Kentucky,South,4.95
2009,KY,Kentucky,South,8.75
2010,KY,Kentucky,South,8.63
2011,KY,Kentucky,South,8.2
2012,KY,Kentucky,South,6.29
2013,KY,Kentucky,South,3.85
2014,KY,Kentucky,South,5.35
2015,KY,Kentucky,South,5.03
2016,KY,Kentucky,South,4.95
2017,KY,Kentucky,South,4.04
2018,KY,Kentucky,South,4.0
2019,KY,Kentucky,South,6.93
2020,KY,Kentucky,South,13.11
2021,KY,Kentucky,South,4.88
2022,KY,Kentucky,South,5.05
2023,KY,Kentucky,South,3.88
2024,KY,Kentucky,South,5.26
2000,LA,Louisiana,South,5.91
2001,LA,Louisiana,South,4.52
2002,LA,Louisiana,South,3.98
2003,LA,Louisiana,South,5.1
2004,LA,Louisiana,South,4.26
2005,LA,Louisiana,South,4.33
2006,LA,Louisiana,South,6.05
2007,LA,Louisiana,South,7.78
2008,LA,Louisiana,South,2.37
2009,LA,Louisiana,South,7.46
2010,LA,Louisiana,South,9.42
2011,LA,Louisiana,South,7.81
2012,LA,Louisiana,South,5.48
2013,LA,Louisiana,South,3.31
2014,LA,Louisiana,South,3.65
2015,LA,Louisiana,South,5.79
2016,LA,Louisiana,South,6.22
2017,LA,Louisiana,South,4.9
2018,LA,Louisiana,South,3.67
2019,LA,Louisiana,South,6.33
2020,LA,Louisiana,South,10.36
2021,LA,Louisiana,South,6.85
2022,LA,Louisiana,South,4.78
2023,LA,Louisiana,South,3.76
2024,LA,Louisiana,South,4.79
2000,ME,Maine,Northeast,6.57
2001,ME,Maine,Northeast,3.81
2002,ME,Maine,Northeast,5.62
2003,ME,Maine,Northeast,3.96
2004,ME,Maine,Northeast,6.31
2005,ME,Maine,Northeast,6.08
2006,ME,Maine,Northeast,4.75
2007,ME,Maine,Northeast,6.29
2008,ME,Maine,Northeast,5.44
2009,ME,Maine,Northeast,6.99
2010,ME,Maine,Northeast,8.22
2011,ME,Maine,Northeast,7.5
2012,ME,Maine,Northeast,5.43
2013,ME,Maine,Northeast,5.12
2014,ME,Maine,Northeast,4.04
2015,ME,Maine,Northeast,5.59
2016,ME,Maine,Northeast,5.85
2017,ME,Maine,Northeast,4.07
2018,ME,Maine,Northeast,2.98
2019,ME,Maine,Northeast,6.9
2020,ME,Maine,Northeast,11.85
2021,ME,Maine,Northeast,5.81
2022,ME,Maine,Northeast,3.01
2023,ME,Maine,Northeast,4.75
2024,ME,Maine,Northeast,6.16
